drug	F1-score_macro	measure	mode	no_samples
Ceftazidim	0.805	F1-score_macro	expr_snps	331
Tobramycin	0.902	F1-score_macro	expr_snps	331
Meropenem	0.907	F1-score_macro	expr	331
Ciprofloxacin	0.804	F1-score_macro	expr	331
Ceftazidim	0.831	F1-score_macro	expr	331
Tobramycin	0.905	F1-score_macro	expr	331
Meropenem	0.871	F1-score_macro	gpa_expr_snps	331
Ciprofloxacin	0.88	F1-score_macro	gpa_expr_snps	331
Ceftazidim	0.798	F1-score_macro	gpa_expr_snps	331
Tobramycin	0.93	F1-score_macro	gpa_expr_snps	331
Meropenem	0.895	F1-score_macro	gpa_expr	331
Ciprofloxacin	0.823	F1-score_macro	gpa_expr	331
Ceftazidim	0.824	F1-score_macro	gpa_expr	331
Tobramycin	0.933	F1-score_macro	gpa_expr	331
Meropenem	0.858	F1-score_macro	gpa_snps	331
Ceftazidim	0.643	F1-score_macro	gpa_snps	331
Tobramycin	0.885	F1-score_macro	gpa_snps	331
Meropenem	0.866	F1-score_macro	gpa	331
Ciprofloxacin	0.709	F1-score_macro	gpa	331
Ceftazidim	0.669	F1-score_macro	gpa	331
Tobramycin	0.916	F1-score_macro	gpa	331
Meropenem	0.525	F1-score_macro	snps	331
Ciprofloxacin	0.89	F1-score_macro	snps	331
Ceftazidim	0.651	F1-score_macro	snps	331
Tobramycin	0.882	F1-score_macro	snps	331
Meropenem	0.881	F1-score_macro	expr_snps	331
Ciprofloxacin	0.901	F1-score_macro	expr_snps	331
Ceftazidim	0.759	F1-score_macro	expr_snps	331
Tobramycin	0.898	F1-score_macro	expr_snps	331
Meropenem	0.868	F1-score_macro	expr	331
Ciprofloxacin	0.789	F1-score_macro	expr	331
Ceftazidim	0.8	F1-score_macro	expr	331
Tobramycin	0.894	F1-score_macro	expr	331
Meropenem	0.894	F1-score_macro	gpa_expr_snps	331
Ciprofloxacin	0.901	F1-score_macro	gpa_expr_snps	331
Ceftazidim	0.744	F1-score_macro	gpa_expr_snps	331
Tobramycin	0.925	F1-score_macro	gpa_expr_snps	331
Meropenem	0.909	F1-score_macro	gpa_expr	331
Ciprofloxacin	0.792	F1-score_macro	gpa_expr	331
Ceftazidim	0.774	F1-score_macro	gpa_expr	331
Tobramycin	0.935	F1-score_macro	gpa_expr	331
Meropenem	0.86	F1-score_macro	gpa_snps	331
Ceftazidim	0.65	F1-score_macro	gpa_snps	331
Tobramycin	0.906	F1-score_macro	gpa_snps	331
Meropenem	0.869	F1-score_macro	gpa	331
Ciprofloxacin	0.811	F1-score_macro	gpa	331
Ceftazidim	0.657	F1-score_macro	gpa	331
Tobramycin	0.921	F1-score_macro	gpa	331
Meropenem	0.562	F1-score_macro	snps	331
Ciprofloxacin	0.897	F1-score_macro	snps	331
Ceftazidim	0.692	F1-score_macro	snps	331
Tobramycin	0.881	F1-score_macro	snps	331
Meropenem	0.858	F1-score_macro	expr_snps	331
Ciprofloxacin	0.868	F1-score_macro	expr_snps	331
Ceftazidim	0.796	F1-score_macro	expr_snps	331
Tobramycin	0.921	F1-score_macro	expr_snps	331
Meropenem	0.881	F1-score_macro	expr	331
Ciprofloxacin	0.782	F1-score_macro	expr	331
Ceftazidim	0.778	F1-score_macro	expr	331
Tobramycin	0.901	F1-score_macro	expr	331
Meropenem	0.882	F1-score_macro	gpa_expr_snps	331
Ciprofloxacin	0.868	F1-score_macro	gpa_expr_snps	331
Ceftazidim	0.816	F1-score_macro	gpa_expr_snps	331
Tobramycin	0.914	F1-score_macro	gpa_expr_snps	331
Meropenem	0.875	F1-score_macro	gpa_expr	331
Ciprofloxacin	0.761	F1-score_macro	gpa_expr	331
Ceftazidim	0.808	F1-score_macro	gpa_expr	331
Tobramycin	0.914	F1-score_macro	gpa_expr	331
Meropenem	0.867	F1-score_macro	gpa_snps	331
Ciprofloxacin	0.868	F1-score_macro	gpa_snps	331
Ceftazidim	0.612	F1-score_macro	gpa_snps	331
Tobramycin	0.916	F1-score_macro	gpa_snps	331
Meropenem	0.867	F1-score_macro	gpa	331
Ciprofloxacin	0.693	F1-score_macro	gpa	331
Ceftazidim	0.653	F1-score_macro	gpa	331
Tobramycin	0.927	F1-score_macro	gpa	331
Meropenem	0.589	F1-score_macro	snps	331
Ciprofloxacin	0.858	F1-score_macro	snps	331
Ceftazidim	0.665	F1-score_macro	snps	331
Tobramycin	0.889	F1-score_macro	snps	331
Meropenem	0.829	F1-score_macro	expr_snps	372
Ciprofloxacin	0.881	F1-score_macro	expr_snps	372
Ceftazidim	0.795	F1-score_macro	expr_snps	372
Tobramycin	0.898	F1-score_macro	expr_snps	372
Meropenem	0.852	F1-score_macro	expr	372
Ciprofloxacin	0.798	F1-score_macro	expr	372
Ceftazidim	0.812	F1-score_macro	expr	372
Tobramycin	0.923	F1-score_macro	expr	372
Meropenem	0.872	F1-score_macro	gpa_expr_snps	372
Ciprofloxacin	0.881	F1-score_macro	gpa_expr_snps	372
Ceftazidim	0.812	F1-score_macro	gpa_expr_snps	372
Tobramycin	0.895	F1-score_macro	gpa_expr_snps	372
Meropenem	0.899	F1-score_macro	gpa_expr	372
Ciprofloxacin	0.782	F1-score_macro	gpa_expr	372
Ceftazidim	0.823	F1-score_macro	gpa_expr	372
Tobramycin	0.912	F1-score_macro	gpa_expr	372
Meropenem	0.856	F1-score_macro	gpa_snps	372
Ceftazidim	0.648	F1-score_macro	gpa_snps	372
Tobramycin	0.912	F1-score_macro	gpa_snps	372
Meropenem	0.857	F1-score_macro	gpa	372
Ciprofloxacin	0.78	F1-score_macro	gpa	372
Ceftazidim	0.706	F1-score_macro	gpa	372
Tobramycin	0.894	F1-score_macro	gpa	372
Meropenem	0.544	F1-score_macro	snps	372
Ciprofloxacin	0.884	F1-score_macro	snps	372
Ceftazidim	0.6	F1-score_macro	snps	372
Meropenem	0.866	F1-score_macro	expr_snps	372
Ciprofloxacin	0.897	F1-score_macro	expr_snps	372
Ceftazidim	0.789	F1-score_macro	expr_snps	372
Tobramycin	0.9	F1-score_macro	expr_snps	372
Meropenem	0.838	F1-score_macro	expr	372
Ciprofloxacin	0.783	F1-score_macro	expr	372
Ceftazidim	0.836	F1-score_macro	expr	372
Tobramycin	0.919	F1-score_macro	expr	372
Meropenem	0.868	F1-score_macro	gpa_expr_snps	372
Ciprofloxacin	0.891	F1-score_macro	gpa_expr_snps	372
Ceftazidim	0.799	F1-score_macro	gpa_expr_snps	372
Tobramycin	0.923	F1-score_macro	gpa_expr_snps	372
Meropenem	0.91	F1-score_macro	gpa_expr	372
Ciprofloxacin	0.792	F1-score_macro	gpa_expr	372
Ceftazidim	0.792	F1-score_macro	gpa_expr	372
Tobramycin	0.929	F1-score_macro	gpa_expr	372
Ceftazidim	0.682	F1-score_macro	gpa_snps	372
Tobramycin	0.909	F1-score_macro	gpa_snps	372
Meropenem	0.876	F1-score_macro	gpa	372
Ciprofloxacin	0.758	F1-score_macro	gpa	372
Ceftazidim	0.695	F1-score_macro	gpa	372
Tobramycin	0.927	F1-score_macro	gpa	372
Meropenem	0.568	F1-score_macro	snps	372
Ciprofloxacin	0.897	F1-score_macro	snps	372
Ceftazidim	0.639	F1-score_macro	snps	372
Meropenem	0.852	F1-score_macro	expr_snps	372
Ciprofloxacin	0.885	F1-score_macro	expr_snps	372
Ceftazidim	0.811	F1-score_macro	expr_snps	372
Tobramycin	0.909	F1-score_macro	expr_snps	372
Meropenem	0.873	F1-score_macro	expr	372
Ciprofloxacin	0.815	F1-score_macro	expr	372
Ceftazidim	0.831	F1-score_macro	expr	372
Tobramycin	0.9	F1-score_macro	expr	372
Meropenem	0.884	F1-score_macro	gpa_expr_snps	372
Ciprofloxacin	0.892	F1-score_macro	gpa_expr_snps	372
Ceftazidim	0.821	F1-score_macro	gpa_expr_snps	372
Tobramycin	0.921	F1-score_macro	gpa_expr_snps	372
Meropenem	0.875	F1-score_macro	gpa_expr	372
Ciprofloxacin	0.809	F1-score_macro	gpa_expr	372
Ceftazidim	0.838	F1-score_macro	gpa_expr	372
Tobramycin	0.915	F1-score_macro	gpa_expr	372
Meropenem	0.874	F1-score_macro	gpa_snps	372
Ciprofloxacin	0.888	F1-score_macro	gpa_snps	372
Tobramycin	0.906	F1-score_macro	gpa_snps	372
Meropenem	0.871	F1-score_macro	gpa	372
Ciprofloxacin	0.779	F1-score_macro	gpa	372
Ceftazidim	0.698	F1-score_macro	gpa	372
Tobramycin	0.926	F1-score_macro	gpa	372
Meropenem	0.601	F1-score_macro	snps	372
Ciprofloxacin	0.891	F1-score_macro	snps	372
Ceftazidim	0.636	F1-score_macro	snps	372
Meropenem	0.859	F1-score_macro	expr_snps	372
Ciprofloxacin	0.907	F1-score_macro	expr_snps	372
Ceftazidim	0.781	F1-score_macro	expr_snps	372
Tobramycin	0.903	F1-score_macro	expr_snps	372
Meropenem	0.879	F1-score_macro	expr	372
Ciprofloxacin	0.809	F1-score_macro	expr	372
Ceftazidim	0.788	F1-score_macro	expr	372
Tobramycin	0.892	F1-score_macro	expr	372
Meropenem	0.885	F1-score_macro	gpa_expr_snps	372
Ciprofloxacin	0.907	F1-score_macro	gpa_expr_snps	372
Ceftazidim	0.781	F1-score_macro	gpa_expr_snps	372
Tobramycin	0.903	F1-score_macro	gpa_expr_snps	372
Meropenem	0.905	F1-score_macro	gpa_expr	372
Ciprofloxacin	0.794	F1-score_macro	gpa_expr	372
Ceftazidim	0.801	F1-score_macro	gpa_expr	372
Tobramycin	0.926	F1-score_macro	gpa_expr	372
Meropenem	0.866	F1-score_macro	gpa_snps	372
Ceftazidim	0.699	F1-score_macro	gpa_snps	372
Tobramycin	0.905	F1-score_macro	gpa_snps	372
Meropenem	0.861	F1-score_macro	gpa	372
Ciprofloxacin	0.775	F1-score_macro	gpa	372
Ceftazidim	0.685	F1-score_macro	gpa	372
Tobramycin	0.91	F1-score_macro	gpa	372
Meropenem	0.57	F1-score_macro	snps	372
Ciprofloxacin	0.904	F1-score_macro	snps	372
Ceftazidim	0.649	F1-score_macro	snps	372
Meropenem	0.864	F1-score_macro	expr_snps	372
Ciprofloxacin	0.875	F1-score_macro	expr_snps	372
Ceftazidim	0.783	F1-score_macro	expr_snps	372
Tobramycin	0.894	F1-score_macro	expr_snps	372
Meropenem	0.862	F1-score_macro	expr	372
Ciprofloxacin	0.767	F1-score_macro	expr	372
Ceftazidim	0.799	F1-score_macro	expr	372
Tobramycin	0.913	F1-score_macro	expr	372
Meropenem	0.883	F1-score_macro	gpa_expr_snps	372
Ciprofloxacin	0.878	F1-score_macro	gpa_expr_snps	372
Ceftazidim	0.819	F1-score_macro	gpa_expr_snps	372
Tobramycin	0.919	F1-score_macro	gpa_expr_snps	372
Meropenem	0.88	F1-score_macro	gpa_expr	372
Ciprofloxacin	0.762	F1-score_macro	gpa_expr	372
Ceftazidim	0.823	F1-score_macro	gpa_expr	372
Tobramycin	0.928	F1-score_macro	gpa_expr	372
Meropenem	0.89	F1-score_macro	gpa_snps	372
Meropenem	0.877	F1-score_macro	gpa	372
Ciprofloxacin	0.762	F1-score_macro	gpa	372
Ceftazidim	0.672	F1-score_macro	gpa	372
Tobramycin	0.908	F1-score_macro	gpa	372
Meropenem	0.559	F1-score_macro	snps	372
Ciprofloxacin	0.869	F1-score_macro	snps	372
Ceftazidim	0.645	F1-score_macro	snps	372
Meropenem	0.85	F1-score_macro	expr_snps	414
Ciprofloxacin	0.884	F1-score_macro	expr_snps	414
Ceftazidim	0.814	F1-score_macro	expr_snps	414
Tobramycin	0.904	F1-score_macro	expr_snps	414
Meropenem	0.862	F1-score_macro	expr	414
Ciprofloxacin	0.832	F1-score_macro	expr	414
Ceftazidim	0.826	F1-score_macro	expr	414
Tobramycin	0.891	F1-score_macro	expr	414
Meropenem	0.882	F1-score_macro	gpa_expr_snps	414
Ciprofloxacin	0.898	F1-score_macro	gpa_expr_snps	414
Ceftazidim	0.808	F1-score_macro	gpa_expr_snps	414
Tobramycin	0.918	F1-score_macro	gpa_expr_snps	414
Meropenem	0.899	F1-score_macro	gpa_expr	414
Ciprofloxacin	0.798	F1-score_macro	gpa_expr	414
Ceftazidim	0.823	F1-score_macro	gpa_expr	414
Tobramycin	0.932	F1-score_macro	gpa_expr	414
Meropenem	0.868	F1-score_macro	gpa_snps	414
Ciprofloxacin	0.895	F1-score_macro	gpa_snps	414
Ceftazidim	0.677	F1-score_macro	gpa_snps	414
Tobramycin	0.905	F1-score_macro	gpa_snps	414
Meropenem	0.872	F1-score_macro	gpa	414
Ciprofloxacin	0.778	F1-score_macro	gpa	414
Ceftazidim	0.691	F1-score_macro	gpa	414
Tobramycin	0.919	F1-score_macro	gpa	414
Meropenem	0.581	F1-score_macro	snps	414
Ciprofloxacin	0.883	F1-score_macro	snps	414
Ceftazidim	0.668	F1-score_macro	snps	414
Tobramycin	0.885	F1-score_macro	snps	414
Meropenem	0.848	F1-score_macro	expr_snps	414
Ciprofloxacin	0.878	F1-score_macro	expr_snps	414
Ceftazidim	0.796	F1-score_macro	expr_snps	414
Tobramycin	0.905	F1-score_macro	expr_snps	414
Meropenem	0.872	F1-score_macro	expr	414
Ciprofloxacin	0.819	F1-score_macro	expr	414
Ceftazidim	0.817	F1-score_macro	expr	414
Tobramycin	0.892	F1-score_macro	expr	414
Meropenem	0.896	F1-score_macro	gpa_expr_snps	414
Ciprofloxacin	0.881	F1-score_macro	gpa_expr_snps	414
Ceftazidim	0.799	F1-score_macro	gpa_expr_snps	414
Tobramycin	0.896	F1-score_macro	gpa_expr_snps	414
Meropenem	0.894	F1-score_macro	gpa_expr	414
Ciprofloxacin	0.784	F1-score_macro	gpa_expr	414
Ceftazidim	0.826	F1-score_macro	gpa_expr	414
Tobramycin	0.921	F1-score_macro	gpa_expr	414
Meropenem	0.872	F1-score_macro	gpa_snps	414
Ciprofloxacin	0.881	F1-score_macro	gpa_snps	414
Ceftazidim	0.697	F1-score_macro	gpa_snps	414
Tobramycin	0.908	F1-score_macro	gpa_snps	414
Meropenem	0.885	F1-score_macro	gpa	414
Ciprofloxacin	0.792	F1-score_macro	gpa	414
Ceftazidim	0.715	F1-score_macro	gpa	414
Tobramycin	0.916	F1-score_macro	gpa	414
Meropenem	0.542	F1-score_macro	snps	414
Ciprofloxacin	0.889	F1-score_macro	snps	414
Ceftazidim	0.673	F1-score_macro	snps	414
Tobramycin	0.886	F1-score_macro	snps	414
Meropenem	0.835	F1-score_macro	expr_snps	414
Ciprofloxacin	0.886	F1-score_macro	expr_snps	414
Ceftazidim	0.799	F1-score_macro	expr_snps	414
Tobramycin	0.902	F1-score_macro	expr_snps	414
Meropenem	0.848	F1-score_macro	expr	414
Ciprofloxacin	0.803	F1-score_macro	expr	414
Ceftazidim	0.808	F1-score_macro	expr	414
Tobramycin	0.905	F1-score_macro	expr	414
Meropenem	0.893	F1-score_macro	gpa_expr_snps	414
Ciprofloxacin	0.876	F1-score_macro	gpa_expr_snps	414
Ceftazidim	0.823	F1-score_macro	gpa_expr_snps	414
Tobramycin	0.924	F1-score_macro	gpa_expr_snps	414
Meropenem	0.887	F1-score_macro	gpa_expr	414
Ciprofloxacin	0.795	F1-score_macro	gpa_expr	414
Ceftazidim	0.838	F1-score_macro	gpa_expr	414
Tobramycin	0.913	F1-score_macro	gpa_expr	414
Meropenem	0.878	F1-score_macro	gpa_snps	414
Ciprofloxacin	0.889	F1-score_macro	gpa_snps	414
Ceftazidim	0.71	F1-score_macro	gpa_snps	414
Tobramycin	0.901	F1-score_macro	gpa_snps	414
Meropenem	0.891	F1-score_macro	gpa	414
Ciprofloxacin	0.773	F1-score_macro	gpa	414
Ceftazidim	0.724	F1-score_macro	gpa	414
Tobramycin	0.917	F1-score_macro	gpa	414
Meropenem	0.583	F1-score_macro	snps	414
Ciprofloxacin	0.887	F1-score_macro	snps	414
Ceftazidim	0.662	F1-score_macro	snps	414
Tobramycin	0.901	F1-score_macro	snps	414
Meropenem	0.84	F1-score_macro	expr_snps	414
Ciprofloxacin	0.881	F1-score_macro	expr_snps	414
Ceftazidim	0.799	F1-score_macro	expr_snps	414
Tobramycin	0.882	F1-score_macro	expr_snps	414
Meropenem	0.852	F1-score_macro	expr	414
Ciprofloxacin	0.777	F1-score_macro	expr	414
Ceftazidim	0.82	F1-score_macro	expr	414
Tobramycin	0.918	F1-score_macro	expr	414
Meropenem	0.907	F1-score_macro	gpa_expr_snps	414
Ciprofloxacin	0.892	F1-score_macro	gpa_expr_snps	414
Ceftazidim	0.829	F1-score_macro	gpa_expr_snps	414
Tobramycin	0.918	F1-score_macro	gpa_expr_snps	414
Meropenem	0.903	F1-score_macro	gpa_expr	414
Ciprofloxacin	0.793	F1-score_macro	gpa_expr	414
Ceftazidim	0.805	F1-score_macro	gpa_expr	414
Tobramycin	0.929	F1-score_macro	gpa_expr	414
Meropenem	0.873	F1-score_macro	gpa_snps	414
Ciprofloxacin	0.889	F1-score_macro	gpa_snps	414
Ceftazidim	0.71	F1-score_macro	gpa_snps	414
Tobramycin	0.905	F1-score_macro	gpa_snps	414
Meropenem	0.879	F1-score_macro	gpa	414
Ciprofloxacin	0.781	F1-score_macro	gpa	414
Ceftazidim	0.716	F1-score_macro	gpa	414
Tobramycin	0.931	F1-score_macro	gpa	414
Meropenem	0.546	F1-score_macro	snps	414
Ciprofloxacin	0.889	F1-score_macro	snps	414
Ceftazidim	0.643	F1-score_macro	snps	414
Tobramycin	0.887	F1-score_macro	snps	414
Meropenem	0.856	F1-score_macro	expr_snps	414
Ciprofloxacin	0.881	F1-score_macro	expr_snps	414
Ceftazidim	0.799	F1-score_macro	expr_snps	414
Tobramycin	0.917	F1-score_macro	expr_snps	414
Meropenem	0.853	F1-score_macro	expr	414
Ciprofloxacin	0.786	F1-score_macro	expr	414
Ceftazidim	0.838	F1-score_macro	expr	414
Tobramycin	0.92	F1-score_macro	expr	414
Meropenem	0.9	F1-score_macro	gpa_expr_snps	414
Ciprofloxacin	0.878	F1-score_macro	gpa_expr_snps	414
Ceftazidim	0.802	F1-score_macro	gpa_expr_snps	414
Tobramycin	0.904	F1-score_macro	gpa_expr_snps	414
Meropenem	0.899	F1-score_macro	gpa_expr	414
Ciprofloxacin	0.792	F1-score_macro	gpa_expr	414
Ceftazidim	0.82	F1-score_macro	gpa_expr	414
Tobramycin	0.935	F1-score_macro	gpa_expr	414
Meropenem	0.876	F1-score_macro	gpa_snps	414
Ciprofloxacin	0.883	F1-score_macro	gpa_snps	414
Ceftazidim	0.703	F1-score_macro	gpa_snps	414
Tobramycin	0.903	F1-score_macro	gpa_snps	414
Meropenem	0.867	F1-score_macro	gpa	414
Ciprofloxacin	0.815	F1-score_macro	gpa	414
Ceftazidim	0.712	F1-score_macro	gpa	414
Tobramycin	0.934	F1-score_macro	gpa	414
Meropenem	0.556	F1-score_macro	snps	414
Ciprofloxacin	0.898	F1-score_macro	snps	414
Ceftazidim	0.632	F1-score_macro	snps	414
Tobramycin	0.904	F1-score_macro	snps	414
Tobramycin	0.914	F1-score_macro	expr	414
